"QuestionTitle","ReviewDate","Keywords","CategoriesID","QuestionText"
"เป็นผู้กู้ กยศ. รายเก่า อยากกู้ต่อต้องดำเนินการอย่างไร?","2026-11-27","กยศ., กู้, กู้ต่อ, ผู้กู้, ย้าย, รายเก่า, สถานะ, สถานะผู้กู้ กยศ., เก่า, เคย, เปลี่ยน","สถานะผู้กู้ กยศ.","📌 เคยกู้แล้ว ย้ายที่เรียน (ผู้กู้รายเก่า)
-  ไม่ต้องสมัครใหม่: ใช้รหัสเดิมเข้าระบบ DSL ได้เลย
-  มิ.ย. เจอกัน: รอระบบเปิด > กด ""ยื่นคำขอกู้ยืม""
-  เตรียมเอกสารรอ: ใบรับรองรายได้ & ใบเกรด"
"ติดตามข่าวสาร กยศ. ได้ทางช่องทางใดบ้าง?","2026-11-27","facebook, กยศ, กยศ., ข่าว, ข่าว กยศ., ข่าวสาร, ช่องทาง, ติดตาม, เพจ","ติดตามข่าวสาร กยศ.","ติดตามข่าวสาร กยศ. มรภ.เพชรบูรณ์ 
https://www.facebook.com/Studentloan.PCRU/"
"ไม่เคยกู้ กยศ. อยากกู้ กยศ. ต้องดำเนินการอย่างไร?","2026-11-23","กยศ., กู้, ครั้งแรก, ผู้กู้, รายใหม่, สถานะ, สถานะผู้กู้ กยศ., สำรอง, ใหม่, ไม่เคย","สถานะผู้กู้ กยศ.","🎓 สำหรับผู้กู้ กยศ. รายใหม่
1️⃣ เตรียมตัว (เม.ย. - พ.ค.)
-  คุณสมบัติ: รายได้ครอบครัวไม่เกิน 360,000 บาท/ปี
-  เอกสาร: สำเนาบัตรประชาชน / ทะเบียนบ้าน / สลิปเงินเดือนหรือใบรับรองรายได้ / ใบเกรด
2️⃣ ลงทะเบียน (มิ.ย.)
-  โหลดแอป ""กยศ. Connect"" หรือเว็บ wsa.dsl.studentloan.or.th
-  ลงทะเบียนและกด ""ยื่นคำขอกู้ยืม"" ในระบบ
3️⃣ ส่งเอกสารให้ มรภ. (รอประกาศ)
-  ส่งที่ กองพัฒนานักศึกษา 
4️⃣ ทำสัญญา
-  เมื่อผ่านการคัดเลือก ให้เข้าระบบไปทำสัญญา > ปริ้นท์ออกมาเซ็น > นำส่งมหาวิทยาลัย
⚠️ ข้อควรรู้: เทอมแรกต้อง ""สำรองจ่ายค่าเทอม"" ไปก่อน (จะได้คืนเมื่อเงินกู้เข้าบัญชี)"
"กยศ. ต้องเก็บชั่วโมงจิตอาสากี่ชั่วโมงต่อปี และกิจกรรมที่เก็บชั่วโมงได้มีอะไรบ้าง?","2026-12-08","กยศ., กิจกรรม, จำนวน, จิตอาสา, ชั่วโมง, ชั่วโมงจิตอาสา กยศ., บำเพ็ญประโยชน์, เก็บชั่วโมง","ชั่วโมงจิตอาสา กยศ.","⏳ เก็บชั่วโมงจิตอาสา กยศ.
-  เก็บชั่วโมง: เก็บ 36 ชั่วโมง/ปี
-  ทำอะไรได้บ้าง: จิตอาสาของมหาลัย, บริจาคโลหิต, e-Learning กยศ."
"ติดต่อเจ้าหน้าที่ กยศ.","2026-06-20","กยศ, กยศ., กู้, ข้อมูล, ติดต่อ, ติดต่อเจ้าหน้าที่ กยศ., หน่วยงาน, เจ้าหน้าที่, เบอร์โทร, โทรศัพท์","ติดต่อเจ้าหน้าที่ กยศ.","ติดต่อ: กองพัฒาการศึกษา 
📞 โทรสายตรง: 056-717144 
🏢 เบอร์ภายใน: 056-717100 ต่อ 5103, 5101"
"ค่าหอพักเทอมละกี่บาท?","2026-06-20","กี่บาท, ค่าธรรมเนียมหอพัก, ค่าหอพักนักศึกษา, จ่าย, ชำระ, น้ำ, เทอม, เท่าไหร่, ไฟ","ค่าธรรมเนียมหอพัก","ค่าหอพัก: เทอมละ 2,000 บาท (รวมค่าน้ำค่าไฟ)
จ่ายค่าหอพัก: งานคลัง อาคารสำนักงานอธิการบดี"
"ข้อห้ามของหอพัก?","2026-06-30","กฎ, กฎระเบียบ, กฎระเบียบหอพัก, ข้อปฏิบัติ, ข้อห้าม, ระเบียบ, หอพัก, ห้าม","กฎระเบียบหอพัก","ข้อปฏิบัติและข้อห้ามภายในหอพัก
1. ห้าม นำสุรา ของมึนเมา หรือสิ่งเสพติดเข้ามาในหอพัก
2. ห้าม เล่นการพนันทุกประเภท
3. ห้าม ส่งเสียงดังรบกวนผู้อื่น หรือก่อเหตุทะเลาะวิวาท
4. ห้าม นำสัตว์เลี้ยงทุกชนิดเข้ามาเลี้ยง
5. ห้าม พาบุคคลภายนอกเข้าห้องพัก (โดยเฉพาะเพศตรงข้าม)
6. ห้าม ประกอบอาหารเพื่อป้องกันอัคคีภัย (ยกเว้นการใช้กาน้ำร้อน)
7. ห้าม สลับห้องพักโดยพละการ (หากต้องการย้ายห้อง กรุณาติดต่อกองพัฒนานักศึกษา)"
"ระบบรักษาความปลอดภัยของหอพักนักศึกษา?","2026-06-20","กล้องวงจรปิด, ความปลอดภัย, ความปลอดภัยของหอพัก, พนักงานรักษาความปลอดภัย, สแกน, หอพักนักศึกษา","ความปลอดภัยของหอพัก","ระบบรักษาความปลอดภัยของหอพักนักศึกษา
1. ประตูเข้า-ออกหอพักเป็นระบบสแกนนิ้ว
2. มีกล้องวงจรปิด เปิดตลอด 24 ชม. 
3. มีพนักงานรักษาความปลอดภัยประจำการในเวลากลางคืน"
"หอพักปิดกี่ทุ่ม และเปิดกี่โมง?","2026-06-25","กลับ, กี่โมง, ปิด, ระเบียบการเข้า-ออกหอพัก, หอพัก, ออก, เข้า, เปิด, เวลา","ระเบียบการเข้า-ออกหอพัก","ระเบียบการเข้า-ออกหอพัก
🌤️เวลาเปิด: อนุญาตให้ออกจากหอพักได้ตั้งแต่เวลา 05.00 - 06.00 น. เป็นต้นไป
🌙เวลาปิด: ต้องกลับเข้าหอพัก ภายในเวลา 21.00 น.
⚠️หากมีความจำเป็นต้องกลับดึกกว่า 21.00 น. ต้องลงชื่อเข้า-ออก (ยามวิกาล) กับประธานหอพัก"
"ภายในห้องพัก","2026-06-19","ของใช้, ข้าวของ, ภายในห้องพัก, สิ่งอำนวยความสะดวก, สิ่งอำนวยความสะดวกของหอพัก, ห้องน้ำ, ห้องพัก, เตียง, เฟอร์นิเจอร์, แยกชายหญิง","สิ่งอำนวยความสะดวกของหอพัก","🚹 หอพักชาย (พัก 4 คน/ห้อง)
       - เฟอร์นิเจอร์: เตียงเดี่ยว (4), ตู้เสื้อผ้า (4), โต๊ะ - เก้าอี้ (4)
       - พัดลมเพดาน, มุ้งลวด, เหล็กดัด
       - ราวตากผ้า (ส่วนกลาง)
       - ห้องน้ำรวม

🚺 หอพักหญิง (พัก 4 คน/ห้อง) 
       - เฟอร์นิเจอร์: เตียง 2 ชั้น (2 เตียง), ตู้เสื้อผ้า (4), โต๊ะ - เก้าอี้ (4)
       - พัดลมเพดาน (2 ตัว), ผ้าม่าน, มุ้งลวด, เหล็กดัด
       - ห้องน้ำในตัว 
       - ราวตากผ้า (ภายในห้องพัก)"
