"QuestionTitle","ReviewDate","Keywords","CategoriesID","QuestionText"
"เบอร์โทรติดต่อเรื่องทุนอุดหนุนการศึกษา?","2000-12-25","ติดต่อ, ทุน, สมัคร, เบอร์","ทุนอุดหนุนการศึกษา","สอบถามรายละเอียดการรับสมัคร: ติดต่อ สำนักส่งเสริมวิชาการและงานทะเบียน
เบอร์โทร: 056-717119 (สายตรง)
เบอร์กลาง: 056-717100 ต่อ 1121, 1122"
"เกณฑ์ในการรับสมัครทุนนักกีฬา?","2000-12-27","กีฬา, คุณสมบัติ, ทุน, สมัคร, เกณฑ์","ทุนอุดหนุนการศึกษา","1. สถานะนักศึกษา: ต้องเป็นนักศึกษา ภาคปกติ ระดับปริญญาตรี ชั้นปีที่ 1 ที่เริ่มเข้าศึกษาในภาคการศึกษาที่ 1 ปีการศึกษา 2569
2. ความสามารถทางกีฬา:
มีความสามารถทางด้านกีฬา โดยเคยได้รับรางวัลการแข่งขันกีฬาในระดับจังหวัด ระดับภาค ระดับชาติ หรือระดับนานาชาติ ย้อนหลังไม่เกิน ๓ ปี นับถึงวันสมัคร และได้รับการคัดเลือกให้เป็นนักกีฬาของมหาวิทยาลัยราชภัฏเพชรบูรณ์ นักกีฬาระดับจังหวัด นักกีฬาระดับภาค หรือนักกีฬาระดับชาติ
3. จิตอาสา: มีส่วนร่วมในกิจกรรมจิตอาสา (ของมหาวิทยาลัยหรือภายนอกก็ได้) รวมกัน ไม่น้อยกว่า 5 ชั่วโมง
4. ผลการเรียน: มีเกรดเฉลี่ยสะสม (GPAX) ในภาคการศึกษาที่ 1/2569 ไม่น้อยกว่า 2.20
5. ผลการสอบ: ไม่สอบตก หรือได้ผลการเรียน “E” ในรายวิชาที่ลงทะเบียนเรียน
6. ความประพฤติ: มีความประพฤติเรียบร้อย ปฏิบัติตามกฎระเบียบของมหาวิทยาลัย
7. สิทธิการเบิกจ่าย: ไม่เป็นบุตรของบุคคลซึ่งมีสิทธิเบิกค่าธรรมเนียมการศึกษาจากหน่วยงานของรัฐ รัฐวิสาหกิจ หรือหน่วยงานภาคเอกชน
8. ทุนซ้ำซ้อน: ไม่เป็นผู้ได้รับทุนการศึกษาจากแหล่งทุนอื่นใดที่ให้ทุนในลักษณะเดียวกันกับประกาศนี้"
"เกณฑ์ในการรับสมัครทุนความสามารถพิเศษมีอะไรบ้าง?","2000-12-27","คุณสมบัติ, ทุน, พิเศษ, สมัคร, เกณฑ์","ทุนอุดหนุนการศึกษา","1. สถานะนักศึกษา: ต้องเป็นนักศึกษา ภาคปกติ ระดับปริญญาตรี ชั้นปีที่ 1 ที่เริ่มเข้าศึกษาในภาคการศึกษาที่ 1 ปีการศึกษา 2569
2. ความสามารถ: มีมีความสามารถพิเศษที่เป็นประโยชน์ต่อมหาวิทยาลัยราชภัฏเพชรบูรณ์ เช่น ทางด้านศิลปวัฒนธรรม หรือความสามารถพิเศษด้านอื่น ๆ ที่นักศึกษาสังกัด และสามารถอุทิศตนเพื่อเข้าร่วมทำกิจกรรม หรือแข่งขันในรายการต่าง ๆ ตามที่มหาวิทยาลัยราชภัฏเพชรบูรณ์กำหนดตามที่กำหนด
3. จิตอาสา: มีส่วนร่วมในกิจกรรมจิตอาสา (ของมหาวิทยาลัยหรือภายนอกก็ได้) รวมกัน ไม่น้อยกว่า 5 ชั่วโมง
4. ผลการเรียน: มีเกรดเฉลี่ยสะสม (GPAX) ในภาคการศึกษาที่ 1/2569 ไม่น้อยกว่า 2.20
5. ผลการสอบ: ต้อง ไม่สอบตก หรือได้ผลการเรียน “E” ในรายวิชาที่ลงทะเบียนเรียน
6. ความประพฤติ: มีความประพฤติเรียบร้อย ปฏิบัติตามกฎระเบียบของมหาวิทยาลัย
7. สิทธิการเบิกจ่าย: ไม่เป็นบุตรของบุคคลซึ่งมีสิทธิเบิกค่าธรรมเนียมการศึกษาจากหน่วยงานของรัฐ รัฐวิสาหกิจ หรือหน่วยงานภาคเอกชน
8. ทุนซ้ำซ้อน: ไม่เป็นผู้ได้รับทุนการศึกษาจากแหล่งทุนอื่นใดที่ให้ทุนในลักษณะเดียวกันกับประกาศนี้"
"เกณฑ์ในการรับสมัครทุนสร้างโอกาสทางการศึกษา (ทุนยากจน)  มีอะไรบ้าง?","2000-12-27","คุณสมบัติ, ทุน, ยากจน, สมัคร, เกณฑ์","ทุนอุดหนุนการศึกษา","1. สถานะนักศึกษา: ต้องเป็นนักศึกษา ภาคปกติ ระดับปริญญาตรี ชั้นปีที่ 1 ที่เริ่มเข้าศึกษาในภาคการศึกษาที่ 1 ปีการศึกษา 2569
2. รายได้ครอบครัว: บิดา มารดา หรือผู้ปกครอง มีรายได้รวมกัน ไม่เกิน 100,000 บาทต่อปี (ต้องมีหนังสือรับรองรายได้จากผู้นำท้องถิ่น เช่น ผู้ใหญ่บ้าน หรือ อบต.)
3. จิตอาสา: มีส่วนร่วมในกิจกรรมจิตอาสาตามที่หน่วยงานภายในมหาวิทยาลัยราชภัฏเพชรบูรณ์หรือหน่วยงานภายนอก รวมกันไม่น้อยกว่า 5 ชั่วโมง
4. ผลการเรียน: มีเกรดเฉลี่ยสะสม (GPAX) ในภาคการศึกษาที่ 1/2569 ไม่น้อยกว่า 2.50
5. ผลการสอบ: ไม่สอบตก หรือได้ผลการเรียน “E” ในรายวิชาที่ลงทะเบียนเรียน
6. ความประพฤติ: มีความประพฤติเรียบร้อย ปฏิบัติตามกฎระเบียบของมหาวิทยาลัย
7. สิทธิการเบิกจ่าย: ไม่เป็นบุตรของบุคคลซึ่งมีสิทธิเบิกค่าธรรมเนียมการศึกษาจากหน่วยงานของรัฐ รัฐวิสาหกิจ หรือหน่วยงานภาคเอกชน
8. ทุนซ้ำซ้อน: ไม่เป็นผู้ได้รับทุนการศึกษาจากแหล่งทุนอื่นใดที่ให้ทุนในลักษณะเดียวกันกับประกาศนี้"
"ประเภททุนอุดหนุนการศึกษามีอะไรบ้าง และช่วยลดค่าใช้จ่ายส่วนไหน?","2000-12-25","ค่า, จ่าย, จำนวน, ทุน, ทุนลด, ทุนอุดหนุนการศึกษา, ประเภท","ทุนอุดหนุนการศึกษา","มหาวิทยาลัยมี ทุนยกเว้นค่าเทอม ให้ปีละ 50 ทุน โดยแบ่งเป็น 4 ประเภท คือ
1. ทุนเรียนดี
2. ทุนสร้างโอกาสทางการศึกษา (ทุนยากจน)
3. ทุนความสามารถพิเศษ
4. ทุนนักกีฬา"
"เงื่อนไขการให้ทุนอุดหนุนการศึกษา?","2000-12-26","ข้อปฏิบัติ, ทุน, ทุนอุดหนุนการศึกษา, รักษา, สิทธิ, เงื่อนไข","ทุนอุดหนุนการศึกษา","สำหรับ เงื่อนไขการให้ทุนอุดหนุนการศึกษา เมื่อได้รับทุนแล้ว นักศึกษาจะได้รับสิทธิประโยชน์และต้องปฏิบัติตามข้อตกลงดังนี้ครับ
สิทธิประโยชน์:
1. เรียนฟรี: ได้รับการยกเว้นค่าธรรมเนียมการศึกษา (ค่าเทอม) แบบเหมาจ่ายตลอดหลักสูตร ตั้งแต่เทอม 1/2569 เป็นต้นไป
** กรณีจ่ายค่าเทอมไปแล้วสามารถนำใบเสร็จไปขอรับเงินคืนได้ที่งานคลัง
2. ไม่ต้องใช้คืน: เป็นทุนให้เปล่า ไม่ต้องชดใช้เงินคืนเมื่อเรียนจบ
3. กู้ กยศ. ได้: ยังมีสิทธิกู้ยืมเงิน กยศ. ได้ตามปกติ (เพื่อเป็นค่าครองชีพ)
ข้อผูกมัดและเงื่อนไขการรักษาทุน:
1. ช่วยงานมหาลัย: ต้องเข้าร่วมกิจกรรมหรือช่วยเหลืองานของมหาวิทยาลัย ไม่น้อยกว่า 30 ชั่วโมงต่อภาคเรียน
4. ห้ามสอบตก: ต้องไม่มีผลการเรียนเป็น ""F"" หรือ ""E"" ในทุกรายวิชา
5. รักษาเกรดเฉลี่ย: ต้องรักษาเกรดสะสม (GPAX) ให้ไม่ต่ำกว่าเกณฑ์ของทุนแต่ละประเภท
ทุนเรียนดี: ไม่ต่ำกว่า 2.75
ทุนสร้างโอกาส (ทุนยากจน): ไม่ต่ำกว่า 2.50
ทุนความสามารถพิเศษ & ทุนนักกีฬา: ไม่ต่ำกว่า 2.20
4. ความประพฤติ: ต้องประพฤติตนเหมาะสม ไม่ถูกลงโทษทางวินัย และไม่พักการเรียนหรือย้ายสาขาวิชา
** หากผิดเงื่อนไขข้อใดข้อหนึ่ง จะถูกระงับทุน ทันทีในภาคเรียนถัดไป"
"เกณฑ์ในการรับสมัครทุนเรียนดีมีอะไรบ้าง?","2000-12-25","คุณสมบัติ, ทุน, ทุนเรียนดี, สมัคร, เกณฑ์, เกณฑ์ทุนเรียนดี, เรียนดี","ทุนอุดหนุนการศึกษา","1.สถานะนักศึกษา: ต้องเป็นนักศึกษา ภาคปกติ ระดับปริญญาตรี ชั้นปีที่ 1 ที่เริ่มเข้าศึกษาในภาคการศึกษาที่ 1 ปีการศึกษา 2569
2.จิตอาสา: มีส่วนร่วมในกิจกรรมจิตอาสาตามที่หน่วยงานภายในมหาวิทยาลัยราชภัฏเพชรบูรณ์หรือหน่วยงานภายนอก รวมกันไม่น้อยกว่า 5 ชั่วโมง
3. ผลการเรียน: มีเกรดเฉลี่ยสะสม (GPAX) ในภาคการศึกษาที่ 1/2569 ไม่น้อยกว่า 2.75
4. ผลการสอบ: ไม่สอบตก หรือได้ผลการเรียน “E” ในรายวิชาที่ลงทะเบียนเรียน
5. ความประพฤติ: มีความประพฤติเรียบร้อย ปฏิบัติตามกฎระเบียบของมหาวิทยาลัย
6. สิทธิการเบิกจ่าย: ไม่เป็นบุตรของบุคคลซึ่งมีสิทธิเบิกค่าธรรมเนียมการศึกษาจากหน่วยงานของรัฐ รัฐวิสาหกิจ หรือหน่วยงานภาคเอกชน
7. ทุนซ้ำซ้อน: ไม่เป็นผู้ได้รับทุนการศึกษาจากแหล่งทุนอื่นใดที่ให้ทุนในลักษณะเดียวกันกับประกาศนี้"
"ค้นหาหรือสอบถามข้อมูลการสมัครเรียน?","2000-12-23","ข้อมูล, ค้นหา, ติดต่อ, สมัครเรียน, สอบถาม, เบอร์, เว็บไซต์","ขั้นตอนและช่องทางการสมัครเรียน","เว็บไซต์: https://www.pcru.ac.th/main/view/ent_new
เบอร์โทรติดต่อ: 0-5671-7119 หรือ 0-5671-7100 ต่อ 1121, 1122, 1129"
"คุณสมบัติผู้สมัครคณะพยาบาลศาสตร์?","2000-12-24","คณะ, คุณสมบัติ, คุณสมบัติพื้นฐานและวุฒิการศึกษา, พยาบาล, สมัคร, สอบ, เกณฑ์, เกรด","คุณสมบัติพื้นฐานและวุฒิการศึกษา","1. วุฒิการศึกษา:
กำลังศึกษาหรือสำเร็จการชั้น ม.6 (แผนการเรียนวิทย์-คณิต) เท่านั้น
2. เกรดเฉลี่ย (GPAX):
ไม่ต่ำกว่า 2.50 (คำนวณจาก 5 ภาคเรียน หรือตลอดหลักสูตร)
3. คุณสมบัติทางร่างกาย:
ส่วนสูง: ไม่ต่ำกว่า 150 เซนติเมตร
น้ำหนัก: ไม่น้อยกว่า 40 กิโลกรัม
สุขภาพ: ต้องมีสุขภาพแข็งแรงสมบูรณ์ ไม่เป็นโรคที่เป็นอุปสรรคต่อการศึกษา
4. การทดสอบ:
ต้องผ่านการทดสอบสุขภาพจิต
สอบข้อเขียน 5 วิชา: คือ วิทย์สุขภาพ, คณิต, ไทย, อังกฤษ, สังคมและความรู้ทั่วไป รวม 100 ข้อ
สอบสัมภาษณ์ และตรวจร่างกาย"
"ค่าใช้จ่ายในการสมัครเรียน?","2000-12-26","การชำระเงินสมัครเรียน, ค่า, จ่าย, สมัครเรียน, เทอม","การชำระเงินสมัครเรียน","1. ค่าสมัคร: 300 บาท
2. ค่าธรรมเนียมแรกเข้า: ภาคปกติ 4,300 บาท / ภาค กศ.ปช. 2,150 บาท
3. ค่าเทอม: ประมาณ 7,000 - 12,000 บาท (แล้วแต่สาขา)
** คณะครุศาสตร์ ช่วงสมัครจ่าย 300 บาท เมื่อสอบติดแล้วถึงจะค่อยไปจ่าย ค่าธรรมเนียมแรกเข้า และค่าเทอม"
